DateTime,temp1,temp2
2015-03-24 06:17:00,17.38,-13.256666666666666
2015-03-24 06:18:00,17.38,-13.26
2015-03-24 06:19:00,17.38,-13.263333333333334
2015-03-24 06:20:00,17.38,-13.266666666666666
2015-03-24 06:21:00,16.89,-13.27
2015-03-24 06:22:00,16.89,-13.273333333333333
2015-03-24 06:23:00,16.89,-13.276666666666666
2015-03-24 06:24:00,16.89,-13.28
2015-03-24 06:25:00,17.38,-13.283333333333333
2015-03-24 06:26:00,16.89,-13.286666666666667
2015-03-24 06:27:00,16.89,-13.29
2015-03-24 06:28:00,16.89,-13.293333333333333
2015-03-24 06:29:00,17.38,-13.296666666666667
2015-03-24 06:30:00,17.38,-13.3
2015-03-24 06:31:00,17.38,-13.303333333333333
2015-03-24 06:32:00,17.38,-13.306666666666667
2015-03-24 06:33:00,17.38,-13.31
2015-03-24 06:34:00,17.38,-13.313333333333333
2015-03-24 06:35:00,17.38,-13.316666666666666
2015-03-24 06:36:00,17.38,-13.32
2015-03-24 06:37:00,17.38,-13.323333333333334
2015-03-24 06:38:00,17.38,-13.326666666666666
2015-03-24 06:39:00,17.38,-13.33
2015-03-24 06:40:00,16.89,-13.333333333333334
2015-03-24 06:41:00,17.38,-13.336666666666666
2015-03-24 06:42:00,17.38,-13.34
2015-03-24 06:43:00,16.89,-13.343333333333334
2015-03-24 06:44:00,17.38,-13.346666666666668
2015-03-24 06:45:00,17.38,-13.35
2015-03-24 06:46:00,17.38,-13.353333333333333
2015-03-24 06:47:00,16.89,-13.356666666666667
2015-03-24 06:48:00,17.38,-13.36
2015-03-24 06:49:00,16.89,-13.363333333333333
2015-03-24 06:50:00,17.38,-13.366666666666667
2015-03-24 06:51:00,16.89,-13.370000000000001
2015-03-24 06:52:00,17.38,-13.373333333333333
2015-03-24 06:53:00,16.89,-13.376666666666667
2015-03-24 06:54:00,16.89,-13.38
2015-03-24 06:55:00,17.38,-13.383333333333333
2015-03-24 06:56:00,17.38,-13.386666666666667
2015-03-24 06:57:00,17.38,-13.39
2015-03-24 06:58:00,17.38,-13.393333333333334
2015-03-24 06:59:00,17.38,-13.396666666666667
2015-03-24 07:00:00,17.38,-13.4
2015-03-24 07:01:00,17.38,-13.388333333333334
2015-03-24 07:02:00,17.87,-13.376666666666667
2015-03-24 07:03:00,17.38,-13.365
2015-03-24 07:04:00,17.38,-13.353333333333333
2015-03-24 07:05:00,17.38,-13.341666666666667
2015-03-24 07:06:00,17.38,-13.33
2015-03-24 07:07:00,17.38,-13.318333333333333
2015-03-24 07:08:00,16.89,-13.306666666666667
2015-03-24 07:09:00,17.38,-13.295
2015-03-24 07:10:00,17.38,-13.283333333333333
2015-03-24 07:11:00,16.89,-13.271666666666667
2015-03-24 07:12:00,16.89,-13.26
2015-03-24 07:13:00,16.89,-13.248333333333333
2015-03-24 07:14:00,16.89,-13.236666666666666
2015-03-24 07:15:00,16.89,-13.225
2015-03-24 07:16:00,16.89,-13.213333333333333
2015-03-24 07:17:00,16.89,-13.201666666666666
2015-03-24 07:18:00,17.38,-13.19
2015-03-24 07:19:00,17.38,-13.178333333333333
2015-03-24 07:20:00,17.38,-13.166666666666666
2015-03-24 07:21:00,16.89,-13.155
2015-03-24 07:22:00,16.89,-13.143333333333333
2015-03-24 07:23:00,17.38,-13.131666666666666
2015-03-24 07:24:00,17.38,-13.12
2015-03-24 07:25:00,17.38,-13.108333333333333
2015-03-24 07:26:00,17.38,-13.096666666666666
2015-03-24 07:27:00,17.38,-13.084999999999999
2015-03-24 07:28:00,17.38,-13.073333333333332
2015-03-24 07:29:00,17.38,-13.061666666666666
2015-03-24 07:30:00,17.38,-13.05
2015-03-24 07:31:00,17.38,-13.038333333333334
2015-03-24 07:32:00,16.89,-13.026666666666667
2015-03-24 07:33:00,16.89,-13.015
2015-03-24 07:34:00,16.89,-13.003333333333334
2015-03-24 07:35:00,16.89,-12.991666666666667
2015-03-24 07:36:00,16.89,-12.98
2015-03-24 07:37:00,16.89,-12.968333333333334
2015-03-24 07:38:00,16.89,-12.956666666666667
2015-03-24 07:39:00,16.89,-12.945
2015-03-24 07:40:00,16.89,-12.933333333333334
2015-03-24 07:41:00,17.38,-12.921666666666667
2015-03-24 07:42:00,16.89,-12.91
2015-03-24 07:43:00,17.38,-12.898333333333333
2015-03-24 07:44:00,17.38,-12.886666666666667
2015-03-24 07:45:00,16.89,-12.875
2015-03-24 07:46:00,17.38,-12.863333333333333
2015-03-24 07:47:00,17.87,-12.851666666666667
2015-03-24 07:48:00,17.38,-12.84
2015-03-24 07:49:00,17.38,-12.828333333333333
2015-03-24 07:50:00,17.38,-12.816666666666666
2015-03-24 07:51:00,17.87,-12.805
2015-03-24 07:52:00,17.38,-12.793333333333333
2015-03-24 07:53:00,17.38,-12.781666666666666
